text,label,notes
"5 seasons is enough for the vast majority of shows.",hot_take,
"Agreed. Most shows seem to decline after the first three or four seasons anyway.",hot_take,
"The era of shows lasting a long time and making it to 8-10 seasons seems to be over. In the past, almost every network had a few flagship shows that reached those milestones. But in streaming getting to season 5/6 seems like the end for most big shows.",analysis,"Hard case: borderline analysis/hot_take. Historical comparison gives it structure, but no specific show data cited."
"Part of the problem there is the sub model. While I hate ads, at least with ads the number of viewers is what controls how much money comes in not if somebody subs or cancels because of the show. That is why shows like supernatural were able to run so long.",analysis,
"Bosch is the unusual one that absolutely should have kept going.",hot_take,
"I thought Ballard was fantastic. Sure, she doesn't have the charisma as Titus but the show flowed much faster making it a great change of pace.",analysis,
"Last season was excellent, but I can't help feeling it was about to overstay its welcome, so this is probably the best outcome.",analysis,
"Especially for Netflix. They love just abandoning a project after a season or two.",hot_take,
"I feel this is a result of the recommendation algorithm, you end up just seeing the same selection of titles over and over. If you watch a lot of one show, then it only suggests very similar shows.",analysis,
"Algorithms need to die. Unless there are people out there who really do just listen to what algorithm says and can't think for themselves, I rarely find content 'curated for me' to be accurate or interesting.",hot_take,
"Some of these sound indistinguishable from 30 Rock parodies.",reaction,
"NOOOOOO NOT THE LINCOLN LAWYER!!!",reaction,
"MOTHERFUCKER! Lincoln Lawyer was one of the shows that I binge watch on Netflix! UGH... I know the books exists but I actually really enjoyed the series... This is so damn disappointing.",reaction,
"show was pulpy and stupid and the legal aspects were deeply wanting, but it was a good time. one of their better projects",hot_take,
"Lincoln Lawyer would have been better if they'd kept it as gritty as Bosch. Instead, it felt really lightweight, like an old-school network drama.",hot_take,"Hard case: near-exact match to planning.md designed edge case. Vibe comparison ('gritty' vs 'lightweight'), no specific scene cited -> hot_take per decision rule."
"I disagree. It was lovingly reminiscent of the mid 2000s USA network shows. Sometimes I just wanna watch hot and smart people do things in a low-medium stakes environment. They show succeeded in being a good time pass that makes her a pleasant comfort TV. Much like Lucifer.",analysis,
"The lightweight old-school network drama is part of why I enjoyed watching it. It was a nice change from the gritty drama, and gave me a similar vibe to the 'Blue Sky' era of USA Network.",analysis,
"Lincoln Lawyer had a five season arc and it's ending with a true finale. The article admits this but the title implies otherwise.",analysis,
"Sad no more Vince Staples show. It scratched the Atlanta itch though Season 1 was better than Season 2.",analysis,
"It was fascinating watching both that and Bosch for how different they were in cinematography? Other stuff? If I knew more about tv production I could say something intelligent about it. Bosch just felt so much more immersive and real even though it took its time a lot more.",hot_take,"Hard case: explicitly admits it can't articulate the distinction it's gesturing at -> hot_take, not analysis."
"He was weeks away from a massive heart attack in the first episode too.",reaction,
"Dude has looked 60 for like 25 years. Been saying this since I started watching top gear as a kid lol",hot_take,
"I thought for sure pulling that calf out was gonna bring on cardiac arrest",reaction,
"Watching that I was like his back muscles are going to be destroyed for a week, probably the most physical effort he's ever put into something. I loved how genuinely passionate he was about birthing cows, but was then immediately cut down by Caleb's horror story of how wrong it can go.",reaction,
"I personally liked Top Gear more than Grand Tour. They're both great, but working around a smaller budget and the constant jokes to get around BBC censors were the best.",analysis,
"Top Gear was the career defining series, Grand Tour was their retirement. Doesn't compare to the original, but isn't it just delightful to see them having so much fun - a trio that will go down in history.",hot_take,
"Which is why Top Gear lost so many viewers when they replaced the original trio. People wanted to see them more than the cars.",analysis,
"Yeah, they were at their best when they were authentically messing about. Cars were also more interesting back then, most of my dream cars are from that era.",hot_take,
"Hammond was always a picky eater and seemingly kept on top of his health in terms of diet and exercising. Yet he's also been the one person in the trio who's been the closest to death with the amount of crazy accidents he's been in.",analysis,"Hard case: resolved Boundary 3 in planning.md - analysis about cast trivia/non-craft topics still counts if structurally evidence-based."
"But seriously I'm really fucking sad right now poor jezza :(",reaction,
"Maximum Pleasure Guaranteed, man what a bunch of cringe horseshit. The acting is awful.",hot_take,
"I just finished Widow's Bay. Love it!!!",reaction,
"I'm up to episode 6 and it just keeps getting crazier, like the web of deceit and misunderstanding the main character gets into keeps expanding. And there seems to be a bigger overarching story behind it all. It's really fun and I can't wait to see how it unfolds.",analysis,
"I think a side effect of Widow's Bay being so good is that I just couldn't stick with From anymore, it's just so artless and plodding. The Viltrimutes really are the special sauce for this show, the parallel universe portal guy as the big bad was really a huge miss.",analysis,
"Friday Night Lights Season 2. You cannot convince me that the people filling in for the writers on strike even watched season 1. There is no way on Earth they watched it. The characters don't even vaguely resemble the ones in season 1. The mother who has been a great parent in season 1 suddenly hits her kid, the alcoholic kid finds Jesus, and then there's a murder.",analysis,
"Honestly, the way people talk about season 2 I was expecting absolute trash but it wasn't as bad as people made it out to be. The worst thing about season 2 is that there is no ending or conclusion to a bunch of the story lines, they just didn't write the last 3 or 4 episodes.",analysis,
"I've never seen a more overrated show on this sub than Widow's Bay. It's subpar on comedy and not scary at all imo.",hot_take,
"i tried so hard with this show. just can't get into it at all",reaction,
"The Americans - on season 4. Turning out to be a S-tier show that I'm prepared to put in the same tier as Sopranos, Breaking Bad, Mad Men etc if it sticks the landing. Incredible writing and acting, the storylines are complex and intelligent, and it's tense as fuck.",hot_take,"Hard case #3 for README: name-drops prestige shows as comparison but never argues WHY it belongs in that tier - no specific scene/writing/plot example given. Comparison asserted, not demonstrated. Tests Boundary 1 (analysis vs hot_take) - the show-comparison move looks like analysis structurally but lacks the verifiable evidence the rule requires."
"S5 of The Americans was a little slow imo, but the fantastic season 6 and amazing series finale made up for it. Really great show.",hot_take,
"You can just go ahead and add The Americans to the elite tier right now because the ending is pure perfection.",hot_take,
"I watched the first 2 eps and it didn't hook me at all, unfortunately.",reaction,
"It's too long for the final payoff.",hot_take,
"Widow's Bay finale was great, my favorite episode alongside the 4th one. I hope we get more monster of the week episodes next season. The humor in this show has been really good, genuinely funnier than a lot of new sitcoms I've tried watching. Entire cast delivered good performances.",hot_take,
"My absolute favorite part about Widow's Bay is the knife edge it pulls. It's absolutely at its funniest the scarier it gets. Second favorite - look at every brochure, book, illustration and poster in the background. Some of the best laughs of the show.",analysis,
"I could've sworn Rosie was in the 1997 remake of That Darn Cat.",reaction,
"She had grown her hair and beard out and was living in a cabin on a mountain somewhere when Kimmel arrived by helicopter to recruit her as a guest host.",reaction,
"She initially said 'Goddammit Kimmel can't you see I'm retired here? I'm out of the game. I'm getting too old for this shit.' But then he convinced her. She put sunglasses on and said, 'I guess I'm coming out of retirement for one last job.'",reaction,
"This is lunacy and i'm fully on-board with it.",reaction,
"She was a powerhouse before Ellen was. I think people are going to be reminded of how good she is at this, and this is the moment for her brand of confrontational politics.",analysis,
"She's an incredibly witty comedian and censored herself quite a bit when she had her talk show and on the View. I'm curious if she'll be allowed to let loose seeing as how it's late night.",analysis,
"I would not be surprised if she'll be better than people in here expect and be trending at one point for something sharp she said or did.",hot_take,
"Christ that cast was too good for that movie.",hot_take,
"I am a 41 year old straight white male who used to watch The Rosie O'Donnell Show most days after getting home from school so I am fucking HERE for this, Rosie is a boss",reaction,
"It was a LOT... like, neverending (but maybe actually 3 minute long) scenes with a cat hose-scenting/marking things, Family Guy-style. It was fucking weird, even for an Aubrey Plaza project",analysis,
"It wasn't even weird. It was trying to be weird. Emphasis on Trying. It was like awkweird.",hot_take,
"It literally felt like Big Mouth but with Animals.",hot_take,
"It wanted to be like the next Bojack or Tuca and Bertie I think, but was just real... meh.",hot_take,
"i knew it was god-awful from the reviews but my partner got excited by the premise so we watched the pilot. both sat there stone-faced the entire time. turned it off after the episode finished. asked what the fuck that was. went to bed. haven't thought about it since. you missed nothing.",reaction,
"I watched 3 episodes before seeing any review. It was less than okay, it's not like it was terrible but I wouldn't have blinked if my SO kept putting it on. I was kinda baffled seeing just how bad the reviews were",analysis,
"Shows had to be mildly entertaining to make it onto adult swim.",hot_take,
"People speculated that the script was made with AI. Some jokes fell flat or didn't make sense.",analysis,
"Stacked cast, experienced producer. On paper, the pitch of an effete fish out of water kid trying to survive public school isn't that different from Young Sheldon, and that show lasted a zillion seasons. It's hard to tell if a pitch will result in a good or bad show. It's the execution that matters way more than the concept, and you don't know how the execution will go until it's a pretty massive sunk cost.",analysis,
"I just don't understand why they keep green lighting these adult animated comedies without checking to see if they're actually funny first. it's animation so you can literally do anything and they always end up with the same restrictions as a live action sitcom everything's set in a room with zero set decoration",analysis,
"F is for Family from Bill Burr I thought was amazing. Its definitely funny but also like seriously emotional and heartbreaking at times.",analysis,
"I cancelled it in my brain after about 7 minutes into the first episode.",reaction,
"I thought the second half of the season really took off. I'm disappointed that they will not be returning for a second season.",hot_take,
"It's a shame because an actor I really like who doesn't get many roles was in it, but the show is kind of unwatchable",hot_take,
"It's so batshit watching back through early seasons especially. Yes Buffy, you are just a child! You absolutely shouldn't have to face your own death when you just wanna go to the formal dance.",reaction,
"I thought he was boring when I watched Buffy growing up. Watched Buffy 20 years later and was like: wow, this dude is awesome.",reaction,
"It's funny when you rewatch as an adult and realise Giles is by far the most relatable character and a total babe, while Angel and Spike have gone from dreamy to annoying.",hot_take,
"He was the sole character that just didn't seem to even try to redeem himself. Everyone else grew into better people. His character stayed evil.",analysis,
"He was a trained musical theatre performer long before Buffy. The musical episode wasn't him stepping outside his comfort zone, it was him stepping right back into it.",analysis,
"His performance is GOATed in that flawed movie. I find his singing in Night Surgeon haunting",hot_take,
"The fact that I dislike Rupert Mannion with a passion says a lot about his acting ability. You've left an amazing legacy.",analysis,
"Between Buffy and Merlin he was so ubiquitous in my youth he felt like an old friend.",reaction,
"Echoes of Babylon 5 losing former cast members left and right in the 2000s-2010s.",analysis,
"Could have been one of the greatest stage actors of the last generation. Yes, he's that good.",hot_take,
"made even more amazing when you find out John Dunsworth rarely drank booze.",analysis,
"Him tripping down the stairs is all time great drunk acting",hot_take,
"Lahey answering the door for Julian with a cheerful 'Oh, Julian!' and then sort of drunkenly walk-falling down the stairs is gonna forever be one of the funniest bits of physical comedy I've ever seen.",analysis,
"Functioning is doing a lot of work here. The guy at various points lost his jobs, lost his wife Vera, told the gang he was sailing to an island when he was homeless and secretly living in the bar, had another bar where they saw him as the same kind of regular as cheers did, and he drove drunk every night.",analysis,
"As much as they drink, they don't get visibly loppy sloppy as often as Lahey",analysis,
"She was so good in Big Love.",hot_take,
"She was truly incredible as Rhonda. A massive talent.",hot_take,
"Her running after the other kids' prom limo was a gut punch. Rhonda was such a manipulative brat most of the time but she was a victim of the cult and a child, too.",analysis,
"I rarely hear it spoken about these days but that show was so good",hot_take,
"I'm telling you, that whole micro-generation of kid actors born 85'-90' are cursed.",hot_take,
"Her ending broke my heart. Feels the same way in life, just a tragedy.",reaction,
"When I read this headline, my body reacted as if I'd been punched. How crushing.",reaction,
"That legit was one of the best psychological horror movies I've ever seen.",hot_take,
"Network television is dying with its core audience. Late night was successful because it was relatively cheap compared to the rest of broadcast tv, and served as a way to promote movies/products. Today it's even cheaper to do that via a podcast or social media post.",analysis,
"It's totally dying of natural causes. How many millennials and zoomers tune in to late-night instead of YouTube, streaming services, video games, or just scrolling through their feeds?",analysis,
"Late Night TV is dying quite naturally due to podcasts/Youtube.",hot_take,
"Almost all the late night shows have refused to get with the times as they've insisted on sticking with the same format of Monologue to pre-tape or in-studio sketch followed by interviews. Really only John Oliver, Conan, and SNL ever adapted meaningfully.",analysis,
"Yeah poisoning yourselves by not being entertaining.",hot_take,
"I watched every single episode of Colbert Report. I watched ZERO episodes of the Late Show with Colbert. Take that as you will.",analysis,
"Man, I missed Colbert's expert trolling. It has the same energy as when he created his own superpac and brought on a lawyer to detail all the subtle ways it can be corrupt",analysis,
"I love this for them.",reaction,
"Do people really believe this was real trolling from Colbert? Because it's kinda obvious that everything was prepared from the beginning. For starters, the show is prerecorded. If they wanted to remove it, they'd have removed it.",analysis,
"Ha! The $2.5 million troll. Well played.",reaction,
"Alex Kerkovich from Happy Endings remains one of my favourite sitcom characters of all time. She started out as the boring straight man of the group but then the writers figured what to do with her, and she became this really dumb and unhinged character, and it was the best thing that happened to the show",analysis,
"Happy Endings was the show that ended way too soon. The slide away shots were always so funny to me, and there little character nuances.",analysis,
"Networks in the early '10s really didn't know how to deal with time-shifted audiences, did they? They screwed over so many good shows.",hot_take,
"As someone who was watching at the time, it's a miracle we got three seasons and 57 episodes. Instead of slotting Happy Endings in on Wednesdays, where it would've filled a niche not represented there, it was on Tuesdays with either Dancing with the Stars or a cooking reality show as a lead-in. DWTS was a big ratings show, but it wasn't the sort of audience that would benefit Happy Endings.",analysis,
"Still one of my absolute favorite sitcoms that I rewatch yearly",reaction,
"This is my favorite sitcom of all time and people don't even know it exists",reaction,
"I think Max is one of the best LGBTQ characters ever written. He's so goddamn funny and the fact that he's gay is only one tiny part of his character.",analysis,
"I always liked her. I thought she was absolutely excellent in 24. She held her own against a lot of much more experienced actors.",analysis,
"24 is a prime example of why 'we need B and C plots with high stakes that don't distract from the A plot!' doesn't work.",analysis,
"She should have been in happy endings for 10 seasons and it's a literal war crime they canceled that show.",hot_take,
"Show was an easy watch wasnt it? She held that character well",hot_take,
"It's a mandate to follow the cards on SNL. Outside of rare accomodations you are never supposed to try and memorize or improv on SNL, or else Lorne will ban you from the show or fire you.",analysis,
"A lot of SNL's problems is over reliance on cards. You can tell the ones who did more and better rehearsal because they don't just fixate on the cards as a crutch. Ariana Grande in her skits was so much better because you can tell she memorized a lot of her lines.",analysis,
"Just watched the whole thing - this feels like the real finale of the Late Show, funnier than it has any right to be.",hot_take,
"Coming off Colbert Report it really felt like he was neutered and wasted as a late night host, he felt like a strange choice for the watered-down corporate world of modern late night.",analysis,
"CBS wanted him to tone down the politics at the start, which he did. But he was getting trounced in the ratings. CBS brought in a morning show producer to try to turn it around and he gave Colbert permission to fully go after Trump and ratings surged almost immediately.",analysis,
"Honestly, Colbert felt a lot like Conan here (in a good way!)",hot_take,
"I saw someone make the comparison to Sona with Conan and I honestly love it.",reaction,
"I love and am genuinely interested in watching the programs he narrates. However within 10 minutes my eyes are heavy and then I'm asleep.",reaction,
"This used to be true, but all of the recent shows have been focused on how bad the environment is and it just stresses me out.",analysis,
"How It's Made. They shoot video of a manufacturing process but then remove the soundtrack entirely. It's literally like a guy reading a boring book to you to make you fall asleep.",analysis,
"I've tested this extensively for sleep, and the beauty of New Girl is the theme song. It's short and not a billion decibels louder than the rest of the sound mix, so far less likely to jar you awake once you've finally drifted.",analysis,
"The Office would've been everyone's winner if it wasn't for the theme song",hot_take,
"Golden Girls. I know every episode almost verbatim so it's easy to tune in and out and just fall asleep.",analysis,
"I was afraid that the Gen V characters would be too critical in defeating Homelander but instead, it was entirely pointless that they were even there",hot_take,
"In a show with a real budget they would've had a much bigger conflict at the whitehouse and the GenV characters would've been fighting through the other supes so Butcher and gang had a shot at homelander. For some reason in the actual show there was like 2 people other than homelander in the whole whitehouse.",analysis,
"They had more special effects in Gen V season 2 than the last 2 of the boys. The battles in the arena were actually pretty badass.",analysis,
"My biggest issue by far with the final season has to be the pacing. At no point did the show feel like it was heading for the end.",hot_take,
"Homelander also just looked so slow during the fight with Butcher and Ryan. Didn't we just watch him fly to space and back in a couple seconds?",analysis,
"What I didn't see get addressed a lot is how CHEAP this season felt. Costumes, sets, photography it all looks worse. Go back to the Herogasm fight between Butcher, Soldier Boy and Homelander and it's way better than the final scorched earth fight",analysis,
"Yup. The Amazon basics of shows describes this season. Actors just walking around talking in empty sets. Complete boring trash.",hot_take,
"I thought Gen V seasons 1 & 2 were better than The Boys seasons 4 & 5",hot_take,
"The dialogue was also abysmal.",hot_take,
"Sister Sage was the dumbest smart person ever written. Throughout the show she goes around calling others dumb. Not exactly the smartest behaviour, because most of the time it isn't a calculated tactic, just arrogance seeping out. And in the finale, when she loses her powers, her reaction is to still call them dumb.",analysis,
"The final season was disappointing undoubtedly. But I am also baffled by some people here trying to equate it on the same level of downfall as Game of Thrones Season 8. That shit was an absolute disaster that wrecked an S tier show.",analysis,
"The Boys last two seasons were largely not great because they stretched out long chunks of nothing happening and punctuated plot development with dick jokes. If 4 and 5 had been one season, we would be having a different conversation.",analysis,
"The issue becomes a self fulfilling prophecy. I don't want to start a new series with an intriguing prospect until I've seen reviews tell me it is good and it gets renewed for a second season. Netflix assumes that means I'm not interested in season 1, and cancels it.",analysis,
"There is a phrase which comes from Star Trek TNG - the show grew a beard. Many shows which are now massive hits would not have got through this stage if Netflix was in charge. In the UK shows like Top gear, blackadder, red dwarf, and others would not have carried on past the first season or two.",analysis,
"This is where Apple TV wins. They are prepared to put out a few seasons and wait for an audience to find them.",hot_take,
"Conversely Netflix are sabotaging their own back catalogue because they will end up with a slew of unsatisfying one season shows that doesn't get any positive word of mouth.",analysis,
"Except the issue with this is Apple TV cancels shows, too. Single season ones and multi season ones. This whole thing with Netflix is more of an overblown meme than anything based on reality.",analysis,
"Archive 81 REALLY pissed me off. It wasn't the best thing I've seen but they released that in January instead of promoting and putting it out in October around Halloween. It would have done so much better.",analysis,
"I started watching Lockwood & Co late because I'd never heard of it, but then Netflix recommended it to me as one of its highest rated shows. I got invested, googled, and found they'd already cancelled it when they recommended it to me.",reaction,
"I never even heard of it until after it had been cancelled. Fantastic show and Netflix dropped the ball on promoting it.",hot_take,
"As I've gotten older, I do not react as reflexively as some when a show I like is cancelled. There was a core intelligence to it, bending familiar tropes in new ways. And the lead actors were so well cast, so right for the parts.",analysis,
"The promo budget is strong with this one.",hot_take,
"Even with the issues that S2 had, it still looked better than pretty much anything on tv right now as far as the sets, costumes, and vfx, and the cast is the very highest tier talent. House of the Dragon is still miles ahead of most other genre tv right now.",analysis,
"This. Even if HotD Season 2 wasn't that great. Look at Wheel of Time. Rings of Power. Witcher. Westeros in HotD looks like real lived in place. The dragons look so real and incredible.",analysis,
"Yeah s2 was only really bad in that it made fans expect a brutal war immediately after s1 and it never did it. But it wasn't bad television.",analysis,
"It's basically the finale of Season 2 but with an extra 2 years in the oven. There's going to be a lot of crazy things happening, the visual spectacle is gonna be off the charts, and then it'll probably return to normal after an episode or two.",analysis,
"Sundays are back",reaction,
"I did not hate season 2 and I'm very excited for this.",reaction,
"I get that, but Knight of the Seven Kingdoms was so good, is based on a completed story, and is basically the length of a movie that can stand on its own, so give it a shot if you enjoy the world.",analysis,
"That show genuinely started out so good and then ended up being one of the dumbest and worst shows of all time. I felt disgusted having wasted time watching it",hot_take,
"The dancing ghost was in episode 1. Navarro beats the shit out of a confirmed domestic violence victim and then arrests HIM because girlboss. And you say it started off good?",analysis,
"I refuse to start anymore game of thrones spinoffs until I get clear indication that the series wraps up with a good conclusion. Too much good tv to get invested for 5+ seasons with no payoff",hot_take,
"Life has been much better since stopped visiting this subreddit. Just so much constant toxicity and negativity.",reaction,
"Game of thrones was never about the battles for me. My favorite scenes were the small council meetings. But when I read Hotd reviews, a lot of them talk about exciting battles and boring scenes in between.",analysis,
"I feel like the reason Hardhome worked is because it wasn't even really a battle, it was a massacre. Even when Jon discovers the Walkers' weakness it doesn't turn the tide of the battle, it just saves his own life.",analysis,
"HotD to me has a fundamental problem in being so heavily tied to the Targaryen storyline. I can only care about them being violent and incestuous and insane while conniving for power for so long, before I'm begging for a change of pace.",analysis,
"GoT just had a riches of interesting characters. All of them with strong personalities and charisma. HotD has very little of that. The characters aren't terribly nuanced, but I really think the casting missed the mark on many of them, especially Daemon.",analysis,
"Reading this made me so sad for what this franchise was and could have been. How they've massacred our boy.",reaction,
"Battle of the Bastards being told over The Northern Conspiracy was a huge letdown",hot_take,
"The mumers farce is nearly over. My sons are home. I love wyman manderly in the books so much. Getting the northern conspiracy sucked so bad",reaction,
"Exactly. And this is where HBO seems to lose the line. Shows like the Sopranos weren't considered great due to gun play; they were great because of character development.",analysis,
"None of the house of dragon characters are going on their own exciting journey like game of thrones characters were",hot_take,
"First rule of storytelling: in any story, the characters' depth and their dynamics with each other are the key. Every good story is a soap opera at heart.",analysis,
"It's like the checkers version of game of thrones: there's just two sides, the pieces all look and move more or less the same way, each turn has such limited possibilities that you can't help but predict what will happen next.",analysis,
"In S2 those in-between moments are just really bad, so people turn to action sequences to get something out of watching the show. In S1 the most hyped scene in the entire season was an old decrepit man walking through a room.",analysis,
"It's because in GOT people spent a lot of time talking about things that happened or things they were going to do. Interesting plotlines unfurling constantly. In HOTD, they spend a lot of time talking about nothing.",analysis,
"People would of liked it more if she was just taking charge and doing things. But instead it felt like season 2 was awkwardly inserted filler.",hot_take,
"There's a moment in the second season where the Tully lord orders Daemon to execute the Blackwood where it feels like something actually happened. But it doesn't quite match up, and there's not many scenes like that.",analysis,
"Sometimes I rewatch the where is duty where is sacrifice scene just to make sure S1 Alicent wasn't a hallucination",reaction,
"The scene where Viserys sits the throne in season 1 Episode 8 had no action and was a 10/10. Everything else is quite forgettable though.",hot_take,
"Removing Nettles is probably the worst decision. Her storyline with Daemon is so nice and a cool contrast with Rhaenyra, as well as making you go yknow maybe he should have been king after all",analysis,
"My favourite character. Still so mad.",reaction,
"Even for non book readers, I think the writing quality is still noticeably questionable. My friend and I didn't read the book and when we watched s2, we were quite confused by why Alicent betrayed her sons.",analysis,
"I actually loved what they did in the first 8 episodes with Alicent. It was much better than the books imo. They built up that rivalry so well that it feels really earned",analysis,
"Thin and stretched are the fundamental issues for this show. Any given episode of GoT would have us bouncing between intrigue in Kings Landing, Jon in the north, Rob Sansa adventures. At least one of those stories was going to work for you",analysis,
"Still not watching this until it's over & the consensus is that the finale is good, not being burnt again.",hot_take,
"I thought Season 1 was perfect. Instead, we raced through a decade or more and are now trying to spread out a breakneck paced civil war that reads as bing-bang-boom. Season 2 was awful",analysis,
"It just annoys me because S1 was really good and I genuinely think the cast is great.",hot_take,
"Imagine where the series would be if they hadn't cut off the end of S2.",reaction,
"I just want to watch more Dunk and Egg",reaction,
"My biggest issue with the show is its complete lack of consistency. At some point, I stopped getting invested in new storylines and gave up on the show somewhere in season 2 because the show seemed determined to abandon them before they went anywhere.",analysis,
"I am sure this is the best season of HOTD and an improvement on the 2nd season in every way. However it is insane to say that it will ever eclipse the peak of Game of Thrones. Those four seasons were undeniably one of the greatest TV shows ever made.",analysis,
"I learned more about the familial relationship between Baelor, Maekar, Daeron, Aerion and Aegon in a few minutes of screentime than I did with the characters in House of the Dragon Season 2 in hours of screentime.",analysis,
"Forgive me if I have trust issues with GoT universe and this kind of hype. I've been burnt enough.",reaction,
"Every meeting between Alicent and Rhaenyra has been so nonsensical that it's hard to stay immersed in the show",hot_take,
"I was assured by another article this was better than anything in cinemas!",hot_take,
"This show's biggest misstep is centering the dynamic on Rhaenyra vs Alicent rather than Rhaenyra vs Aegon. Siblings going to war should feel more personal than this",analysis,
"Bombastic almost literally means dazzling spectacle but shallow and it's like the entire English-speaking world has forgotten this.",analysis,
"The entire show is about a war they've dragged out for two seasons before showing the actual war. Instead dragons fought twice and the big dragon kicked ass both times. Not very entertaining.",analysis,
"I needed to read all of these comments reviews before the show comes out to form my opinion and this one really helps me validate my fake hate for it so I can feel secure.",reaction,
"I feel like S2 being so aggressively anticlimactic has made people forget how solid S1 was.",analysis,
"What's crazy was that s2 was basically one episode away from satisfying a lot of fans. If the season had ended with the actual battle instead of the buildup to the battle, a lot could've been forgiven",analysis,
"Paddy Considine was the highlight of S1 for me.",hot_take,
"The show was worth the watch for his performance alone, I truly could've taken or left pretty much everything else but he was fuckin unstoppable in that role",hot_take,
"Nah, nah. Totally not overblown. Plenty of shit makes absolutely no sense. Like how the fuck can either of our queens just saunter into each other's castles for a quick chat",hot_take,
"S2 could have been condensed into maybe 4 episodes. Lots of dumb, unnecessary and or repetitive things that didn't add to the story.",analysis,
"We really had Daemon tripping balls in the spooky castle for like 5 episodes. Insane time management",hot_take,
"I'm gonna be honest that's literally all I remember from season 2",reaction,
"A child got decapitated and they had a funeral for him where we all thought the head was gonna fall off. Aegon executed all the ratcatchers and Otto crashed out over it. Daemon tripped absolute BALLS and then got politically outmaneuvered by a tween.",analysis,
"I think it worked in season one. Having them be close in their youth makes their turn to bitter enemies more tragic. But it's ridiculous that they keep trying to go back to it in season 2 when their families are actively murdering each other.",analysis,
"Dude this show has taken way to long, I don't even care anymore.",reaction,
"House of the Drag On.",reaction,
"Knight of the Seven Kingdoms proved you didn't need bigger to make better.",hot_take,
"I feel like an individual episode of Knight of the Seven Kingdoms had more plot and character development than the entirety of HOTD season 2",hot_take,
